Voltage : 13.64 V | Pitch angle : 59.00° | Yaw angle : -9.00° | Pitch_current : 4.00 A | Yaw_current : 7.99 A
Voltage : 13.52 V | Pitch angle : 59.00° | Yaw angle : -9.25° | Pitch_current : 3.94 A | Yaw_current : 8.32 A
Voltage : 13.09 V | Pitch angle : 59.00° | Yaw angle : -9.25° | Pitch_current : 4.14 A | Yaw_current : 8.74 A
Voltage : 13.77 V | Pitch angle : 59.00° | Yaw angle : -9.25° | Pitch_current : 3.85 A | Yaw_current : 8.65 A
Voltage : 13.64 V | Pitch angle : 59.00° | Yaw angle : -9.00° | Pitch_current : 3.75 A | Yaw_current : 8.58 A
Voltage : 12.33 V | Pitch angle : 59.00° | Yaw angle : -8.75° | Pitch_current : 3.94 A | Yaw_current : 8.21 A
Voltage : 11.77 V | Pitch angle : 59.00° | Yaw angle : -8.50° | Pitch_current : 4.29 A | Yaw_current : 8.04 A
Voltage : 13.01 V | Pitch angle : 59.00° | Yaw angle : -8.25° | Pitch_current : 4.23 A | Yaw_current : 8.14 A
Voltage : 12.10 V | Pitch angle : 59.00° | Yaw angle : -8.00° | Pitch_current : 4.31 A | Yaw_current : 8.00 A
Voltage : 12.33 V | Pitch angle : 59.00° | Yaw angle : -7.75° | Pitch_current : 4.22 A | Yaw_current : 7.45 A
Voltage : 11.11 V | Pitch angle : 59.00° | Yaw angle : -7.75° | Pitch_current : 4.33 A | Yaw_current : 7.08 A
Voltage : 12.86 V | Pitch angle : 59.00° | Yaw angle : -7.50° | Pitch_current : 4.66 A | Yaw_current : 7.30 A
Voltage : 12.43 V | Pitch angle : 59.00° | Yaw angle : -7.75° | Pitch_current : 4.28 A | Yaw_current : 7.41 A
Voltage : 13.95 V | Pitch angle : 59.00° | Yaw angle : -8.25° | Pitch_current : 4.32 A | Yaw_current : 7.04 A
Voltage : 13.92 V | Pitch angle : 59.00° | Yaw angle : -8.50° | Pitch_current : 4.73 A | Yaw_current : 6.71 A
Voltage : 12.73 V | Pitch angle : 59.00° | Yaw angle : -9.25° | Pitch_current : 4.52 A | Yaw_current : 6.64 A
Voltage : 12.71 V | Pitch angle : 59.00° | Yaw angle : -9.75° | Pitch_current : 4.54 A | Yaw_current : 6.53 A
Voltage : 12.96 V | Pitch angle : 59.00° | Yaw angle : -10.00° | Pitch_current : 4.53 A | Yaw_current : 6.17 A
Voltage : 13.29 V | Pitch angle : 59.00° | Yaw angle : -10.50° | Pitch_current : 4.50 A | Yaw_current : 5.84 A
Voltage : 12.61 V | Pitch angle : 59.00° | Yaw angle : -10.75° | Pitch_current : 4.82 A | Yaw_current : 5.96 A
Voltage : 12.35 V | Pitch angle : 59.00° | Yaw angle : -11.00° | Pitch_current : 4.43 A | Yaw_current : 5.61 A
Voltage : 12.00 V | Pitch angle : 59.00° | Yaw angle : -11.25° | Pitch_current : 4.81 A | Yaw_current : 5.35 A
Voltage : 12.81 V | Pitch angle : 59.00° | Yaw angle : -11.25° | Pitch_current : 4.90 A | Yaw_current : 5.10 A
Voltage : 11.32 V | Pitch angle : 59.00° | Yaw angle : -11.50° | Pitch_current : 5.23 A | Yaw_current : 5.04 A
Voltage : 13.01 V | Pitch angle : 59.00° | Yaw angle : -11.50° | Pitch_current : 4.76 A | Yaw_current : 4.99 A
Voltage : 13.97 V | Pitch angle : 59.00° | Yaw angle : -11.75° | Pitch_current : 4.95 A | Yaw_current : 4.87 A
Voltage : 14.25 V | Pitch angle : 59.00° | Yaw angle : -11.75° | Pitch_current : 4.92 A | Yaw_current : 4.63 A
Voltage : 14.08 V | Pitch angle : 59.00° | Yaw angle : -11.75° | Pitch_current : 4.93 A | Yaw_current : 4.56 A
Voltage : 13.92 V | Pitch angle : 59.00° | Yaw angle : -12.00° | Pitch_current : 4.65 A | Yaw_current : 4.10 A
Voltage : 13.72 V | Pitch angle : 59.00° | Yaw angle : -12.00° | Pitch_current : 4.67 A | Yaw_current : 4.12 A
Voltage : 14.10 V | Pitch angle : 59.00° | Yaw angle : -12.25° | Pitch_current : 4.32 A | Yaw_current : 3.91 A
Voltage : 14.30 V | Pitch angle : 59.00° | Yaw angle : -12.25° | Pitch_current : 4.06 A | Yaw_current : 3.92 A
Voltage : 12.61 V | Pitch angle : 59.00° | Yaw angle : -12.25° | Pitch_current : 3.88 A | Yaw_current : 3.65 A
Voltage : 13.11 V | Pitch angle : 59.00° | Yaw angle : -12.25° | Pitch_current : 3.76 A | Yaw_current : 3.55 A
Voltage : 13.01 V | Pitch angle : 59.00° | Yaw angle : -12.50° | Pitch_current : 3.96 A | Yaw_current : 3.42 A
Voltage : 12.15 V | Pitch angle : 59.00° | Yaw angle : -12.75° | Pitch_current : 3.95 A | Yaw_current : 3.27 A
Voltage : 12.23 V | Pitch angle : 59.00° | Yaw angle : -13.00° | Pitch_current : 3.97 A | Yaw_current : 3.24 A
Voltage : 13.04 V | Pitch angle : 59.00° | Yaw angle : -13.00° | Pitch_current : 3.95 A | Yaw_current : 3.36 A
Voltage : 12.53 V | Pitch angle : 59.00° | Yaw angle : -13.25° | Pitch_current : 3.96 A | Yaw_current : 3.42 A
Voltage : 12.51 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 3.91 A | Yaw_current : 3.39 A
