Voltage : 10.99 V | Pitch angle : 62.00° | Yaw angle : -2.00° | Pitch_current : 2.80 A | Yaw_current : 6.67 A
Voltage : 11.64 V | Pitch angle : 62.00° | Yaw angle : -1.75° | Pitch_current : 2.86 A | Yaw_current : 6.74 A
Voltage : 12.25 V | Pitch angle : 62.00° | Yaw angle : -1.25° | Pitch_current : 2.85 A | Yaw_current : 5.95 A
Voltage : 12.10 V | Pitch angle : 62.00° | Yaw angle : -0.75° | Pitch_current : 3.11 A | Yaw_current : 5.80 A
Voltage : 12.30 V | Pitch angle : 62.00° | Yaw angle : -0.25° | Pitch_current : 2.93 A | Yaw_current : 5.43 A
Voltage : 11.70 V | Pitch angle : 62.00° | Yaw angle : 0.25° | Pitch_current : 3.00 A | Yaw_current : 5.26 A
Voltage : 11.90 V | Pitch angle : 62.00° | Yaw angle : 0.75° | Pitch_current : 3.07 A | Yaw_current : 4.93 A
Voltage : 12.81 V | Pitch angle : 62.00° | Yaw angle : 1.25° | Pitch_current : 2.96 A | Yaw_current : 4.56 A
Voltage : 12.66 V | Pitch angle : 62.00° | Yaw angle : 1.75° | Pitch_current : 3.51 A | Yaw_current : 4.16 A
Voltage : 12.28 V | Pitch angle : 62.00° | Yaw angle : 2.00° | Pitch_current : 3.11 A | Yaw_current : 3.76 A
Voltage : 13.19 V | Pitch angle : 62.00° | Yaw angle : 2.25° | Pitch_current : 3.06 A | Yaw_current : 3.64 A
Voltage : 13.04 V | Pitch angle : 62.00° | Yaw angle : 2.50° | Pitch_current : 3.27 A | Yaw_current : 3.34 A
Voltage : 13.11 V | Pitch angle : 62.00° | Yaw angle : 2.75° | Pitch_current : 3.39 A | Yaw_current : 3.05 A
Voltage : 13.42 V | Pitch angle : 62.00° | Yaw angle : 2.75° | Pitch_current : 3.28 A | Yaw_current : 2.74 A
Voltage : 13.44 V | Pitch angle : 62.00° | Yaw angle : 2.75° | Pitch_current : 3.28 A | Yaw_current : 2.58 A
Voltage : 13.06 V | Pitch angle : 62.00° | Yaw angle : 2.50° | Pitch_current : 3.31 A | Yaw_current : 2.40 A
Voltage : 12.96 V | Pitch angle : 62.00° | Yaw angle : 2.25° | Pitch_current : 3.31 A | Yaw_current : 2.57 A
Voltage : 13.39 V | Pitch angle : 62.00° | Yaw angle : 2.00° | Pitch_current : 3.68 A | Yaw_current : 2.75 A
Voltage : 12.96 V | Pitch angle : 62.00° | Yaw angle : 1.50° | Pitch_current : 3.14 A | Yaw_current : 3.14 A
Voltage : 12.43 V | Pitch angle : 62.00° | Yaw angle : 1.00° | Pitch_current : 3.41 A | Yaw_current : 3.51 A
Voltage : 13.32 V | Pitch angle : 62.00° | Yaw angle : 0.50° | Pitch_current : 3.31 A | Yaw_current : 3.90 A
Voltage : 12.71 V | Pitch angle : 62.00° | Yaw angle : 0.25° | Pitch_current : 3.03 A | Yaw_current : 3.99 A
Voltage : 12.96 V | Pitch angle : 62.00° | Yaw angle : -0.25° | Pitch_current : 3.17 A | Yaw_current : 1.97 A
Voltage : 3.54 V | Pitch angle : 62.00° | Yaw angle : -0.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 2.76 V | Pitch angle : 62.00° | Yaw angle : -0.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 2.28 V | Pitch angle : 62.00° | Yaw angle : -1.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 2.08 V | Pitch angle : 61.75° | Yaw angle : -1.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.87 V | Pitch angle : 61.25° | Yaw angle : -1.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.75 V | Pitch angle : 60.25° | Yaw angle : -0.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.62 V | Pitch angle : 58.50° | Yaw angle : -0.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.47 V | Pitch angle : 56.25° | Yaw angle : -0.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.37 V | Pitch angle : 53.00° | Yaw angle : -0.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.29 V | Pitch angle : 48.75° | Yaw angle : -0.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.24 V | Pitch angle : 43.50° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.14 V | Pitch angle : 37.25° | Yaw angle : 0.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.09 V | Pitch angle : 29.75° | Yaw angle : 0.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 1.01 V | Pitch angle : 21.50° | Yaw angle : 1.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
