Voltage : 11.70 V | Pitch angle : 57.25° | Yaw angle : 1.25° | Pitch_current : 4.70 A | Yaw_current : 5.38 A
Voltage : 11.80 V | Pitch angle : 57.25° | Yaw angle : 1.00° | Pitch_current : 4.58 A | Yaw_current : 5.51 A
Voltage : 11.42 V | Pitch angle : 57.25° | Yaw angle : 1.00° | Pitch_current : 4.78 A | Yaw_current : 5.87 A
Voltage : 10.78 V | Pitch angle : 57.25° | Yaw angle : 1.00° | Pitch_current : 4.63 A | Yaw_current : 6.54 A
Voltage : 11.29 V | Pitch angle : 57.25° | Yaw angle : 1.00° | Pitch_current : 4.33 A | Yaw_current : 5.90 A
Voltage : 11.34 V | Pitch angle : 57.25° | Yaw angle : 1.25° | Pitch_current : 4.66 A | Yaw_current : 5.52 A
Voltage : 11.59 V | Pitch angle : 57.25° | Yaw angle : 1.75° | Pitch_current : 4.96 A | Yaw_current : 4.85 A
Voltage : 10.91 V | Pitch angle : 57.25° | Yaw angle : 1.75° | Pitch_current : 4.86 A | Yaw_current : 4.56 A
Voltage : 11.90 V | Pitch angle : 57.25° | Yaw angle : 2.00° | Pitch_current : 4.93 A | Yaw_current : 4.09 A
Voltage : 11.72 V | Pitch angle : 57.25° | Yaw angle : 1.75° | Pitch_current : 5.14 A | Yaw_current : 3.56 A
Voltage : 12.30 V | Pitch angle : 57.25° | Yaw angle : 1.50° | Pitch_current : 5.15 A | Yaw_current : 3.95 A
Voltage : 12.10 V | Pitch angle : 57.25° | Yaw angle : 1.00° | Pitch_current : 4.94 A | Yaw_current : 4.47 A
Voltage : 11.72 V | Pitch angle : 57.25° | Yaw angle : 0.75° | Pitch_current : 4.70 A | Yaw_current : 5.24 A
Voltage : 11.97 V | Pitch angle : 57.25° | Yaw angle : 0.25° | Pitch_current : 4.82 A | Yaw_current : 5.40 A
Voltage : 11.80 V | Pitch angle : 57.25° | Yaw angle : 0.00° | Pitch_current : 4.70 A | Yaw_current : 6.14 A
Voltage : 10.91 V | Pitch angle : 57.25° | Yaw angle : -0.25° | Pitch_current : 4.46 A | Yaw_current : 6.26 A
Voltage : 11.49 V | Pitch angle : 57.25° | Yaw angle : -0.25° | Pitch_current : 4.64 A | Yaw_current : 5.76 A
Voltage : 10.40 V | Pitch angle : 57.25° | Yaw angle : -0.50° | Pitch_current : 4.58 A | Yaw_current : 5.77 A
Voltage : 11.16 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 4.66 A | Yaw_current : 5.31 A
Voltage : 10.81 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 4.69 A | Yaw_current : 5.19 A
Voltage : 11.90 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 4.97 A | Yaw_current : 5.19 A
Voltage : 11.59 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 5.02 A | Yaw_current : 4.67 A
Voltage : 11.16 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 5.07 A | Yaw_current : 4.33 A
Voltage : 12.02 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 4.85 A | Yaw_current : 4.27 A
Voltage : 12.28 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 4.97 A | Yaw_current : 4.31 A
Voltage : 11.11 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 5.04 A | Yaw_current : 4.27 A
Voltage : 12.13 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 5.05 A | Yaw_current : 3.73 A
Voltage : 12.25 V | Pitch angle : 57.25° | Yaw angle : -0.75° | Pitch_current : 5.14 A | Yaw_current : 3.66 A
Voltage : 12.08 V | Pitch angle : 57.25° | Yaw angle : -1.00° | Pitch_current : 4.64 A | Yaw_current : 3.61 A
Voltage : 12.40 V | Pitch angle : 57.25° | Yaw angle : -1.25° | Pitch_current : 4.75 A | Yaw_current : 3.44 A
Voltage : 12.40 V | Pitch angle : 57.25° | Yaw angle : -1.50° | Pitch_current : 4.53 A | Yaw_current : 3.45 A
Voltage : 12.25 V | Pitch angle : 57.25° | Yaw angle : -1.75° | Pitch_current : 4.10 A | Yaw_current : 3.24 A
Voltage : 12.08 V | Pitch angle : 57.25° | Yaw angle : -2.25° | Pitch_current : 4.00 A | Yaw_current : 3.31 A
